province_name,year,month,date,rainfall_mm,monthly_mean,rainfall_anomaly,rainfall_zscore
Dong Thap,2003,11,2003-11-01,121.7987746274351,144.9832750334808,-23.1845004060457,-0.3372331991413715
Kien Giang,2003,11,2003-11-01,139.11854271435047,160.67300000136308,-21.55445728701261,-0.33202972615771226
Long An,2003,11,2003-11-01,116.1146727966475,132.73568224210666,-16.621009445459165,-0.272579959738723
Tien Giang,2003,11,2003-11-01,97.93244016609565,120.37542450664738,-22.44298434055173,-0.4373078883072604
Soc Trang,2003,12,2003-12-01,27.147994856729596,36.136334648495335,-8.988339791765739,-0.41769706997370887
Tra Vinh,2003,12,2003-12-01,24.72234826672642,33.8416938346602,-9.119345567933777,-0.40925022958782276
Vinh Long,2003,12,2003-12-01,28.614177736922446,39.780208213025084,-11.166030476102637,-0.36496094152679315
Bac Lieu,2003,12,2003-12-01,34.78807229155156,47.74485096673784,-12.956778675186285,-0.5124141193878708
Ca Mau,2003,12,2003-12-01,41.23796153784156,62.92335750459004,-21.68539596674848,-0.7080666160807962
Can Tho city,2003,12,2003-12-01,28.214729357295468,40.887820759446946,-12.673091402151478,-0.41978114390872057
Hau Giang,2003,12,2003-12-01,30.9328261873574,42.70175892723853,-11.76893273988113,-0.44385431396588404
An Giang,2003,12,2003-12-01,26.63542627503938,38.958010420002815,-12.322584144963436,-0.43361663235032594
Ben Tre,2003,12,2003-12-01,23.928199985526025,37.51407582657335,-13.585875841047322,-0.48325836742443945
Dong Thap,2003,12,2003-12-01,27.54610421244933,39.23278178959202,-11.686677577142689,-0.3590888393673264
Kien Giang,2003,12,2003-12-01,30.008488677470105,45.071430681322845,-15.06294200385274,-0.5465809383955318
Long An,2003,12,2003-12-01,22.72317137351181,39.14182585772664,-16.418654484214827,-0.4984441098309567
Tien Giang,2003,12,2003-12-01,22.62946078589019,35.96998539711587,-13.340524611225682,-0.45371308375017866
Soc Trang,2004,1,2004-01-01,1.0001096250448118,9.250562914400108,-8.250453289355296,-1.1768364869356323
Tra Vinh,2004,1,2004-01-01,0.0399439490875706,6.528299865058275,-6.488355915970705,-1.179110131772128
Vinh Long,2004,1,2004-01-01,0.2040025909210103,7.46568326195543,-7.26168067103442,-1.2189940505235402
Bac Lieu,2004,1,2004-01-01,5.176060283889815,13.736892747853481,-8.560832463963667,-1.053872964968515
Ca Mau,2004,1,2004-01-01,7.936884404294839,17.57674676145969,-9.639862357164851,-1.0170160540245003
Can Tho city,2004,1,2004-01-01,4.0976575470118535,11.48439278185302,-7.386735234841166,-1.0805318035796887
Hau Giang,2004,1,2004-01-01,4.8434481467882415,12.050937903884492,-7.20748975709625,-0.9369498717447783
An Giang,2004,1,2004-01-01,4.616732236131119,11.738263733567123,-7.121531497436004,-1.1095100566938783
Ben Tre,2004,1,2004-01-01,0.071334406528367,6.4824690934152915,-6.411134686886925,-1.1807835997359966
Dong Thap,2004,1,2004-01-01,4.093479811692352,11.600486686269152,-7.5070068745768,-1.214725191671873
Kien Giang,2004,1,2004-01-01,5.884086314410904,15.02053749226069,-9.136451177849786,-1.03015070276248
Long An,2004,1,2004-01-01,3.478572251314827,12.537217401940406,-9.05864515062558,-1.3658025348774174
Tien Giang,2004,1,2004-01-01,0.2218209877781153,7.549819935114067,-7.327998947335952,-1.4124385227292264
Soc Trang,2004,2,2004-02-01,2.7816922486744278,5.032612383874859,-2.2509201352004315,-0.7044365352914185
Tra Vinh,2004,2,2004-02-01,0.6634364838376327,2.8946611959469775,-2.231224712109345,-0.9229437779377128
Vinh Long,2004,2,2004-02-01,0.2309902814545603,3.5751496104940355,-3.344159329039475,-1.043703176504228
Bac Lieu,2004,2,2004-02-01,3.0180119263853404,4.85432927466342,-1.8363173482780795,-0.49363681823956673
Ca Mau,2004,2,2004-02-01,4.10459242038461,5.20437234174972,-1.0997799213651103,-0.2432948788818708
Can Tho city,2004,2,2004-02-01,1.1736891722868033,4.144474186515506,-2.970785014228703,-0.7649573003334604
Hau Giang,2004,2,2004-02-01,1.710873750317644,4.623053067777344,-2.9121793174597004,-0.8262723368493037
An Giang,2004,2,2004-02-01,6.227669714890204,7.993766770413151,-1.7660970555229474,-0.25650212824602553
Ben Tre,2004,2,2004-02-01,0.3503401278616255,4.107758028949911,-3.757417901088286,-1.4402087364949292
Dong Thap,2004,2,2004-02-01,4.168932182880371,5.253787973668788,-1.084855790788417,-0.20475062115821038
Kien Giang,2004,2,2004-02-01,6.360808884689186,8.903017082627985,-2.5422081979387983,-0.34286331698923594
Long An,2004,2,2004-02-01,3.707442139069122,5.935697669089123,-2.228255530020001,-0.45294517803331
Tien Giang,2004,2,2004-02-01,2.9508065467933013,5.262927050197614,-2.312120503404313,-0.6840865677053668
Soc Trang,2004,3,2004-03-01,6.0782339242206485,13.8764550173841,-7.798221093163451,-0.49363924181119345
Tra Vinh,2004,3,2004-03-01,2.505022063338581,7.721723551248695,-5.216701487910114,-0.5420210613387644
Vinh Long,2004,3,2004-03-01,1.4442653579483091,8.192794069214072,-6.748528711265763,-0.6069829848304544
Bac Lieu,2004,3,2004-03-01,8.862905876832052,18.957599333571125,-10.094693456739073,-0.5059132722007752
Ca Mau,2004,3,2004-03-01,10.287022928489549,25.77074807635631,-15.48372514786676,-0.6182305226836157
Can Tho city,2004,3,2004-03-01,6.204806159522425,19.131681763626393,-12.926875604103968,-0.5937355982449948
Hau Giang,2004,3,2004-03-01,6.50352778469813,20.75863402351502,-14.255106238816893,-0.6131207032984461
An Giang,2004,3,2004-03-01,11.942320267631487,36.708939552375234,-24.766619284743747,-0.7024468838835036
Ben Tre,2004,3,2004-03-01,4.874448129562371,8.325775864743715,-3.4513277351813443,-0.35161374027163445
Dong Thap,2004,3,2004-03-01,8.664905551066473,24.15924251553602,-15.494336964469548,-0.6342351831892202
Kien Giang,2004,3,2004-03-01,15.243121515030069,40.64599731440484,-25.40287579937477,-0.6596057319127389
Long An,2004,3,2004-03-01,6.3048177738083,20.228570185274116,-13.923752411465816,-0.642050020291763
Tien Giang,2004,3,2004-03-01,5.041193406290992,11.794211201453914,-6.753017795162922,-0.5131756690403287
Soc Trang,2004,4,2004-04-01,39.36395347696882,52.567798867096435,-13.203845390127618,-0.30298488962563846
Tra Vinh,2004,4,2004-04-01,24.87895585696941,35.79389658699988,-10.91494073003047,-0.3322703112694763
Vinh Long,2004,4,2004-04-01,23.768449460409613,43.481437328426544,-19.71298786801693,-0.49224015782532804
Bac Lieu,2004,4,2004-04-01,44.93159297960485,62.47898565326389,-17.54739267365904,-0.36468754845122636
Ca Mau,2004,4,2004-04-01,62.23551771277301,77.12632995346,-14.89081224068699,-0.29264074053583555
Can Tho city,2004,4,2004-04-01,32.69130365189872,62.30122167169119,-29.609918019792467,-0.6176070353170737
