province_name,year,month,date,water_area_km2,province_area_km2,water_area_pct
Tra Vinh,2016,5,2016-05-01,336.0900883828979,2254.4401122278623,14.907918225903549
Vinh Long,2016,5,2016-05-01,89.13786008254431,1534.6515536941374,5.808345214780258
Bac Lieu,2016,5,2016-05-01,1021.8134359252466,2610.873855724368,39.13683664512976
Ca Mau,2016,5,2016-05-01,1486.4316025930336,5185.881144708419,28.66304801662804
Can Tho city,2016,5,2016-05-01,38.27700543480188,1398.2168353387826,2.7375586151862854
Hau Giang,2016,5,2016-05-01,20.18928954049739,1678.4219435418108,1.2028733071669626
An Giang,2016,5,2016-05-01,138.04488414677354,3540.966155975497,3.898508996303686
Ben Tre,2016,5,2016-05-01,384.327999906776,2293.238665129326,16.75918018263058
Dong Thap,2016,5,2016-05-01,150.2557396268295,3393.2412305670014,4.428088939663219
Kien Giang,2016,5,2016-05-01,929.2944732740708,6294.25596863703,14.764167169313613
Long An,2016,5,2016-05-01,118.54831043274564,4493.542342739985,2.638192797365732
Tien Giang,2016,5,2016-05-01,139.07192122111658,2393.1845244412143,5.811165825317567
Soc Trang,2016,6,2016-06-01,287.7456924058717,3348.8468758966987,8.592381290315759
Tra Vinh,2016,6,2016-06-01,198.1587845773591,2254.4401122278623,8.789711622968616
